ID,Place Name,District,Category,Sub-Category,Distance from Raipur (km),Nearest Railway Station,Distance from Railway Station (km),Nearest Airport,Distance from Airport (km),Nearest Bus Stand,Distance from Bus Stand (km),Best Season to Visit,Safe to Visit in Winter,Safe to Visit in Summer,Safe to Visit in Monsoon,How to Reach from Raipur,Cab Available,Bus Available,Train Direct from Raipur,Entry Fee (INR),Avg Stay Cost per night (INR),Avg Food Cost per day (INR),Estimated Total Trip Budget (INR) 1 Night,Local Specialty Food,Famous Restaurants / Dhabas,Nearest Market for Shopping,Stay Options Near Railway Station,Stay Options Near Airport,Stay Options Near Bus Stand,Things to Do,Suitable For,Notes
P037,Jagdalpur – Bastar Tribal Hub,Bastar,Tribal / Cultural,Tribal Culture Capital of CG,295,Jagdalpur,1 km,Raipur Airport,295 km,Jagdalpur Bus Stand,0.5 km,October – February (Dussehra: Oct),Yes,No,No,Train to Jagdalpur (limited trains via Vizag route – 10–12 hrs); or drive NH30 (5.5 hrs),Yes – abundant,Yes – CSRTC,Limited (via Durg-Vizag line),0,800,300,1600,"Aamat curry, Bamboo pickle, Muthia, Angakar Roti, wild mushroom",Hotel Odisha Restaurant Jagdalpur; local Bastar dhabas; tribal food stalls near Haat,Jagdalpur Weekly Haat (tribal market every Thursday-Sunday); Bastar Shilp Gram,Budget-mid hotels near Jagdalpur station (₹500–2000),No airport; nearest Raipur 295 km,Budget lodges near Jagdalpur bus stand,"Bastar Dussehra festival (world's 75-day longest), Weekly Haat tribal market, Dhokra metal craft shopping, Bastar Palace, Dalpat Sagar lake","Cultural explorers, tribal culture enthusiasts, festival seekers, photographers",Base for all Bastar tourism. Bastar Dussehra (Oct) – must experience. Weekly Haat – most authentic tribal market in India.
P038,Kondagaon – Dhokra Craft Village,Bastar,Tribal / Cultural,Tribal Craft Center,270,Kondagaon,2 km,Raipur Airport,270 km,Kondagaon Bus Stand,2 km,October – February,Yes,No,No,Drive from Jagdalpur (1.5 hrs) en route to Raipur on NH30,Yes – local cabs,Yes – buses on NH30,No direct train,0,500,200,1000,"Aamat, Muthia, tribal food",Local dhabas on NH30,"Kondagaon craft shops (Dhokra metal, bell metal, terracotta)",Basic lodges Kondagaon,No airport nearby,Basic lodges near bus stand,"Dhokra metal craft workshop, buy direct from artisans, Gondri wall art, terracotta shopping","Craft lovers, cultural tourists, shoppers",Famous for Dhokra bell-metal craft. Buy directly from tribal artisans at workshop-shops. En-route stop Jagdalpur-Raipur.
P039,Tattapani Hot Spring – Balrampur,Balrampur,Hot Spring,Natural Hot Spring (Medicinal),375,Ambikapur,60 km,Raipur Airport,375 km,Ambikapur Bus Stand,60 km,November – February,Yes,No,No,Train to Ambikapur then cab 60 km; or drive via NH130,Yes – cabs from Ambikapur,Limited bus from Ambikapur,Yes – train to Ambikapur,0,600,200,1200,"Local tribal food, Bore Basi",Dhabas near spring,Ambikapur Shastri Market,Basic guest house near spring; hotels Ambikapur (60 km),No airport nearby,Budget lodges near Ambikapur bus stand,"Hot spring bath (medicinal sulfur spring), riverside view, combine with Mainpat","Health tourists, nature lovers",Natural hot springs with high sodium content – believed to have medicinal properties. Flows year-round.
P040,Swami Vivekanand Sarovar (Budha Talab) – Raipur,Raipur,Urban Attraction,City Lake + Garden,2,Raipur,2 km,Raipur Airport,13 km,Raipur Bus Stand,2 km,All Year (best Oct–March),Yes,No (hot),No,Auto/cab in Raipur city (10 min),Yes – abundant,Yes – city bus,–,0,0,100,200,"Street food around lake; Chila, chaat",Roadside stalls around lake; Gol Bazaar nearby,Gol Bazaar Raipur (10 min); Shastri Market Raipur,All hotels in Raipur (2 km from center),Hotels near Raipur Airport (13 km),Hotels near Raipur bus stand,"Evening walk, boating, Vivekananda statue, food stalls, Mahant Ghasi Das Museum adjacent","All tourists, families, couples, evening walkers",City's most popular evening spot. Huge Vivekananda statue in lake. Adjacent to state museum.
P041,Gol Bazaar – Raipur,Raipur,Shopping / Food Market,Most Famous Street Market of Raipur,1,Raipur,1 km,Raipur Airport,13 km,Raipur Bus Stand,1 km,All Year,Yes,Yes,Yes,Auto/cab in Raipur city (5 min),Yes,Yes – city bus,–,0,0,100,200,"Samosa, Chila, Jalebi, Dahi Bara, Kachori, Poha, Pakoda, street chaat – famous street food hub",Gol Bazaar stalls (iconic – must try); Santosh Bhojanalaya; local snack shops,"Gol Bazaar itself is the market – sarees, utensils, daily goods; Shastri Market (cloth) 2 min walk",All hotels in Raipur,Hotels near Raipur Airport (13 km),Hotels near Raipur bus stand (1 km),"Street food tour, local shopping, saree and cloth buying, daily bazar experience","All tourists, foodies, shoppers",Raipur's iconic street food and market hub. Best visited morning (breakfast) or evening (snacks). Dahi Bara and Samosa are must-try.
P042,Purani Basti – Old Raipur Heritage Walk,Raipur,Heritage / Urban,Old City Heritage Area,1,Raipur,1 km,Raipur Airport,13 km,Raipur Bus Stand,1 km,October – March,Yes,No,No,Walk or auto from Raipur station (10 min),Yes,Yes – city bus,–,0,0,150,300,"Chila, Bafauri, street snacks – same as Gol Bazaar",Dudhadhari temple area dhabas; Gol Bazaar stalls (2 min),"Gol Bazaar; Shastri Market; Ghatri Bazar (brass, copper)",All hotels Raipur,Hotels near Raipur Airport,Hotels near Raipur bus stand,"Heritage temple walk (Dudhadhari, Hatkeshwar), street art at Purani Basti Wall Art, local bazaar","Heritage walkers, photographers, cultural tourists","Oldest part of Raipur city. Multiple ancient temples, wall art murals, traditional bazaar atmosphere."
P043,Nandan Van (Hatband),Raipur/Simga,Nature,Park & Reservoir,65,Hathbandh,5 km,Raipur Airport,75 km,Simga Bus Stand,12 km,October – March,Yes,Yes,Yes,Drive via Raipur-Bilaspur Road (NH130),Yes,Yes,Yes (Local),20,0,200,500,Raipur snacks,Dhabas on Bilaspur Road,Simga Market,Day trip recommended,Raipur Hotels,Day trip recommended,"Bird watching, Picnic, Boating","Families, Nature Lovers",Located near Simga. Good for weekend picnics.
P044,Jungle Safari (Naya Raipur),Raipur,Wildlife,Safari Park,25,Raipur,25 km,Raipur Airport,15 km,Raipur Bus Stand,25 km,October – March,Yes,Yes,Yes,Drive via Naya Raipur road,Yes,Yes,No,200,2000,400,3000,Raipur street food,Naya Raipur Cafes,Naya Raipur Central Park,Raipur Hotels,Hotels near Airport,Raipur Hotels,"Tiger Safari, Lion Safari, Herbivore Safari, Zoo visit","Families, Kids, Photographers",Asia's largest man-made safari park.
P045,Hatkeshwar Mahadev Temple,Raipur,Religious,Ancient Temple,5,Raipur,5 km,Raipur Airport,15 km,Raipur Bus Stand,6 km,All Year,Yes,Yes,Yes,Local auto/cab from city,Yes,Yes,Yes,0,0,200,500,Raipur street snacks,Nearby local stalls,Gol Bazaar,Raipur Hotels,Raipur Hotels,Raipur Hotels,"Temple visit, Kharun River bank walk, evening Aarti","Devotees, Families",Located at Mahadev Ghat on the banks of Kharun River. Very sacred.
P046,Ram Mandir (VIP Road),Raipur,Religious,Modern Temple,8,Raipur,10 km,Raipur Airport,5 km,Raipur Bus Stand,10 km,All Year,Yes,Yes,Yes,Drive via VIP road,Yes,Yes,Yes,0,0,300,600,Cafe food on VIP Road,Numerous cafes on VIP Road,Magento Mall nearby,Raipur Hotels,Hotels near Airport,Raipur Hotels,"Temple visit, Night lighting view, nearby food hopping","Families, Devotees",Most beautiful modern temple architecture in Raipur. Stunning at night.
P047,Kaushalya Mata Temple,Raipur,Religious,Heritage Temple,25,Raipur,25 km,Raipur Airport,20 km,Raipur Bus Stand,28 km,All Year,Yes,Yes,Yes,Drive via Arang road (Chandkhuri),Yes,Yes,No,0,0,250,500,Patal Poha,Local stalls,Chandkhuri local,Raipur Hotels,Raipur Hotels,Raipur Hotels,"Temple visit, Lake view, Photography","Devotees, Families",World's only temple dedicated to Mata Kaushalya.
P048,Satrenga,Korba,Water Tourism,Island & Reservoir,230,Korba,40 km,Raipur Airport,230 km,Korba Bus Stand,40 km,October – March,Yes,Yes,Yes,Drive to Korba via Bilaspur NH130,Yes,Yes,Yes (to Korba),20,2500,500,4000,"Fish Curry, Dehati Murga",Floating Restaurant Satrenga,Korba Market,Hotels in Korba city,Raipur Hotels,Korba Lodges,"Cruising, Water Sports, Camping, Island Visit","Families, Couples, Friends",Largest water tourism hub of CG.
P049,Maitri Bagh & Shivnath River,Durg,Leisure/Nature,Zoo & River View,35,Durg / Bhilai,5 km,Raipur Airport,50 km,Durg Bus Stand,5 km,October – March,Yes,Yes,Yes,Drive via NH53 (45 min),Yes,Yes,Yes,30,1000,300,1500,Durg local street food,Local Bhilai cafes,Akash Ganga Market,Durg Station Hotels,Raipur Hotels,Durg Lodges,"Musical Fountain, Zoo visit, Boating, Shivnath River Ghat visit","Families, Kids",Shivnath river is a major lifeline here.
P050,Dholkal Ganesha,Bastar,Adventure,Trekking & Religious,365,Dantewada,15 km,Raipur Airport,365 km,Dantewada Bus Stand,15 km,October – February,Yes,No,No,Reach Dantewada then local transport to Faraspal village,Yes,Yes,Indirect,0,800,300,2000,Bastar tribal food,Local eateries in Dantewada,Dantewada Market,Dantewada Lodges,Raipur Hotels,Dantewada Bus Stand lodges,"Trekking, Nature Photography",Trekkers,1000-year-old idol on mountain top.
